castaway_id,season,total_challenges_competed,total_won,win_percentage
US0273,18,13,6,0.46153846153846156
US0274,18,15,8,0.5333333333333333
US0275,18,17,5,0.29411764705882354
US0276,18,18,8,0.4444444444444444
US0277,18,20,6,0.3
US0278,18,21,5,0.23809523809523808
US0279,18,22,6,0.2727272727272727
US0280,18,22,7,0.3181818181818182
US0281,18,22,11,0.5
US0282,19,2,1,0.5
US0283,19,3,1,0.3333333333333333
US0284,19,3,1,0.3333333333333333
US0285,19,4,1,0.25
US0286,19,6,4,0.6666666666666666
US0287,19,8,2,0.25
US0288,19,8,6,0.75
US0289,19,10,2,0.2
US0290,19,11,8,0.7272727272727273
US0291,19,13,9,0.6923076923076923
US0292,19,15,11,0.7333333333333333
US0293,19,16,10,0.625
US0294,19,17,10,0.5882352941176471
US0295,19,18,9,0.5
US0296,19,20,10,0.5
US0297,19,21,5,0.23809523809523808
US0298,19,22,12,0.5454545454545454
US0299,19,22,3,0.13636363636363635
US0300,19,22,5,0.22727272727272727
US0301,19,22,3,0.13636363636363635
US0025,20,24,10,0.4166666666666667
US0031,20,23,8,0.34782608695652173
US0055,20,11,7,0.6363636363636364
US0107,20,22,7,0.3181818181818182
US0112,20,24,8,0.3333333333333333
US0144,20,3,1,0.3333333333333333
US0150,20,8,2,0.25
US0179,20,6,2,0.3333333333333333
US0181,20,20,10,0.5
US0195,20,19,8,0.42105263157894735
US0197,20,24,11,0.4583333333333333
US0231,20,9,2,0.2222222222222222
US0235,20,18,8,0.4444444444444444
US0236,20,15,8,0.5333333333333333
US0258,20,4,2,0.5
US0263,20,2,1,0.5
US0274,20,9,7,0.7777777777777778
US0277,20,13,7,0.5384615384615384
US0281,20,16,7,0.4375
US0300,20,24,10,0.4166666666666667
US0302,21,2,0,0
US0303,21,3,2,0.6666666666666666
US0304,21,4,1,0.25
US0305,21,5,1,0.2
US0306,21,7,2,0.2857142857142857
US0307,21,8,6,0.75
US0308,21,8,2,0.25
US0309,21,10,3,0.3
US0310,21,11,7,0.6363636363636364
US0311,21,13,4,0.3076923076923077
US0312,21,15,7,0.4666666666666667
US0313,21,16,9,0.5625
US0314,21,16,7,0.4375
US0315,21,18,9,0.5
US0316,21,20,6,0.3
US0317,21,21,6,0.2857142857142857
US0318,21,22,6,0.2727272727272727
US0319,21,22,8,0.36363636363636365
US0320,21,22,11,0.5
US0321,21,22,12,0.5454545454545454
US0055,22,17,8,0.47058823529411764
US0300,22,4,2,0.5
US0322,22,2,0,0
US0323,22,14,10,0.7142857142857143
US0324,22,5,1,0.2
US0325,22,6,3,0.5
US0326,22,7,3,0.42857142857142855
US0327,22,8,3,0.375
US0328,22,14,7,0.5
US0329,22,11,3,0.2727272727272727
US0330,22,12,3,0.25
US0331,22,15,4,0.26666666666666666
US0332,22,15,3,0.2
US0333,22,17,7,0.4117647058823529
US0334,22,16,6,0.375
US0335,22,17,6,0.35294117647058826
US0336,22,17,5,0.29411764705882354
US0337,22,17,4,0.23529411764705882
US0201,23,18,11,0.6111111111111112
US0277,23,18,5,0.2777777777777778
US0338,23,3,2,0.6666666666666666
US0339,23,9,5,0.5555555555555556
US0340,23,5,2,0.4
