season,castaway_id,num_confessionals,num_episodes,confessionals_per_episode
27,US0292,20,14,1.4285714285714286
27,US0358,34,14,2.4285714285714284
27,US0359,15,3,5
27,US0365,10,7,1.4285714285714286
27,US0397,17,8,2.125
27,US0398,5,4,1.25
27,US0399,5,3,1.6666666666666667
27,US0400,20,8,2.5
27,US0401,20,6,3.3333333333333335
27,US0402,35,11,3.1818181818181817
27,US0403,16,12,1.3333333333333333
27,US0404,21,13,1.6153846153846154
27,US0405,35,14,2.5
27,US0406,46,14,3.2857142857142856
28,US0407,4,1,4
28,US0408,11,1,11
28,US0409,6,2,3
28,US0410,9,3,3
28,US0411,9,4,2.25
28,US0412,6,4,1.5
28,US0413,12,5,2.4
28,US0414,26,6,4.333333333333333
28,US0415,15,7,2.142857142857143
28,US0416,23,8,2.875
28,US0417,12,9,1.3333333333333333
28,US0418,16,10,1.6
28,US0419,28,11,2.5454545454545454
28,US0420,22,12,1.8333333333333333
28,US0421,67,13,5.153846153846154
28,US0422,62,13,4.769230769230769
28,US0423,36,13,2.769230769230769
28,US0424,97,13,7.461538461538462
29,US0425,4,1,4
29,US0426,7,2,3.5
29,US0427,11,3,3.6666666666666665
29,US0428,13,4,3.25
29,US0429,6,5,1.2
29,US0430,13,6,2.1666666666666665
29,US0431,14,7,2
29,US0432,36,8,4.5
29,US0433,46,9,5.111111111111111
29,US0434,9,10,0.9
29,US0435,22,11,2
29,US0436,17,12,1.4166666666666667
29,US0437,56,13,4.3076923076923075
29,US0438,36,14,2.5714285714285716
29,US0439,47,14,3.357142857142857
29,US0440,31,14,2.2142857142857144
29,US0441,31,14,2.2142857142857144
29,US0442,46,14,3.2857142857142856
30,US0443,7,1,7
30,US0444,12,2,6
30,US0445,6,3,2
30,US0446,7,4,1.75
30,US0447,10,5,2
30,US0448,10,6,1.6666666666666667
30,US0449,12,7,1.7142857142857142
30,US0450,14,8,1.75
30,US0451,26,9,2.888888888888889
30,US0452,36,10,3.6
30,US0453,33,11,3
30,US0454,27,12,2.25
30,US0455,37,13,2.8461538461538463
30,US0456,21,14,1.5
30,US0457,52,14,3.7142857142857144
30,US0458,24,14,1.7142857142857142
30,US0459,50,14,3.5714285714285716
30,US0460,73,14,5.214285714285714
31,US0015,5,9,0.5555555555555556
31,US0021,13,14,0.9285714285714286
31,US0023,16,4,4
31,US0105,31,8,3.875
31,US0180,7,5,1.4
31,US0233,7,3,2.3333333333333335
31,US0280,42,11,3.8181818181818183
31,US0295,6,5,1.2
31,US0383,28,13,2.1538461538461537
31,US0402,3,1,3
31,US0406,19,10,1.9
31,US0419,32,14,2.2857142857142856
31,US0421,56,14,4
31,US0422,18,7,2.5714285714285716
31,US0423,11,6,1.8333333333333333
31,US0429,44,14,3.142857142857143
31,US0433,44,14,3.142857142857143
31,US0439,17,14,1.2142857142857142
31,US0451,30,12,2.5
31,US0453,9,2,4.5
32,US0461,4,1,4
32,US0462,8,2,4
32,US0463,10,3,3.3333333333333335
32,US0464,6,4,1.5
32,US0465,15,4,3.75
32,US0466,10,5,2
32,US0467,17,6,2.8333333333333335
32,US0468,16,7,2.2857142857142856
32,US0469,27,8,3.375
32,US0470,26,9,2.888888888888889
32,US0471,36,10,3.6
32,US0472,16,11,1.4545454545454546
32,US0473,44,12,3.6666666666666665
32,US0474,21,13,1.6153846153846154
32,US0475,37,14,2.642857142857143
32,US0476,74,14,5.285714285714286
32,US0477,70,14,5
32,US0478,57,14,4.071428571428571
33,US0479,3,1,3
33,US0480,6,2,3
33,US0481,8,3,2.6666666666666665
33,US0482,3,4,0.75
33,US0483,6,5,1.2
33,US0484,12,6,2
33,US0485,15,7,2.142857142857143
33,US0486,10,8,1.25
33,US0487,23,9,2.5555555555555554
33,US0488,22,10,2.2
33,US0489,19,10,1.9
33,US0490,40,11,3.6363636363636362
33,US0491,19,12,1.5833333333333333
33,US0492,10,12,0.8333333333333334
33,US0493,49,13,3.769230769230769
33,US0494,25,13,1.9230769230769231
33,US0495,56,13,4.3076923076923075
33,US0496,29,13,2.230769230769231
33,US0497,27,13,2.076923076923077
33,US0498,53,13,4.076923076923077
34,US0023,21,6,3.5
34,US0112,21,5,4.2
34,US0179,39,12,3.25
34,US0201,8,7,1.1428571428571428
34,US0281,19,4,4.75
34,US0333,18,11,1.6363636363636365
34,US0364,14,12,1.1666666666666667
34,US0384,10,3,3.3333333333333335
34,US0401,31,12,2.5833333333333335
34,US0406,3,1,3
34,US0414,45,12,3.75
34,US0424,12,1,12
34,US0450,9,7,1.2857142857142858
34,US0456,23,10,2.3
34,US0464,7,2,3.5
34,US0470,32,8,4
34,US0476,31,12,2.5833333333333335
34,US0477,20,12,1.6666666666666667
34,US0485,24,11,2.1818181818181817
34,US0490,25,9,2.7777777777777777
35,US0499,2,1,2
35,US0500,4,2,2
35,US0501,7,3,2.3333333333333335
35,US0502,10,4,2.5
35,US0503,7,5,1.4
35,US0504,16,6,2.6666666666666665
35,US0505,18,7,2.5714285714285716
35,US0506,8,8,1
35,US0507,21,9,2.3333333333333335
35,US0508,5,10,0.5
35,US0509,28,10,2.8
35,US0510,34,11,3.090909090909091
35,US0511,27,12,2.25
35,US0512,33,13,2.5384615384615383
35,US0513,41,13,3.1538461538461537
35,US0514,49,13,3.769230769230769
35,US0515,51,13,3.923076923076923
35,US0516,70,13,5.384615384615385
36,US0517,2,1,2
36,US0518,15,1,15
36,US0519,6,2,3
36,US0520,5,3,1.6666666666666667
36,US0521,12,4,3
36,US0522,7,5,1.4
36,US0523,12,6,2
36,US0524,26,7,3.7142857142857144
36,US0525,11,8,1.375
36,US0526,14,9,1.5555555555555556
36,US0527,12,10,1.2
36,US0528,32,10,3.2
36,US0529,4,11,0.36363636363636365
36,US0530,41,12,3.4166666666666665
36,US0531,12,13,0.9230769230769231
36,US0532,33,13,2.5384615384615383
36,US0533,15,13,1.1538461538461537
36,US0534,27,13,2.076923076923077
36,US0535,68,13,5.230769230769231
36,US0536,39,13,3
37,US0537,2,1,2
37,US0538,5,2,2.5
37,US0539,13,3,4.333333333333333
37,US0540,5,4,1.25
37,US0541,6,4,1.5
37,US0542,15,5,3
37,US0543,11,6,1.8333333333333333
37,US0544,16,7,2.2857142857142856
37,US0545,12,8,1.5
37,US0546,22,9,2.4444444444444446
37,US0547,25,10,2.5
37,US0548,17,10,1.7
37,US0549,26,11,2.3636363636363638
37,US0550,39,12,3.25
37,US0551,34,13,2.6153846153846154
37,US0552,21,13,1.6153846153846154
37,US0553,33,13,2.5384615384615383
37,US0554,54,13,4.153846153846154
37,US0555,47,13,3.6153846153846154
37,US0556,53,13,4.076923076923077
38,US0429,30,13,2.3076923076923075
38,US0451,11,13,0.8461538461538461
38,US0477,24,13,1.8461538461538463
38,US0495,28,13,2.1538461538461537
38,US0557,15,13,1.1538461538461537
38,US0558,16,7,2.2857142857142856
38,US0559,23,13,1.7692307692307692
38,US0560,63,13,4.846153846153846
38,US0561,18,7,2.5714285714285716
38,US0562,14,13,1.0769230769230769
38,US0563,10,13,0.7692307692307693
38,US0564,28,13,2.1538461538461537
38,US0565,27,13,2.076923076923077
38,US0566,15,13,1.1538461538461537
38,US0567,22,13,1.6923076923076923
38,US0568,28,13,2.1538461538461537
38,US0569,32,13,2.4615384615384617
38,US0570,26,13,2
39,US0571,1,1,1
39,US0572,6,2,3
39,US0573,14,3,4.666666666666667
39,US0574,5,4,1.25
39,US0575,7,5,1.4
39,US0576,10,6,1.6666666666666667
39,US0577,9,7,1.2857142857142858
